StationID,Total_R
1,-0.8349871208476809
2,-0.2909743761870223
3,0.5167728520727987
4,0.07771228423410896
5,-0.4317882064742178
6,0.07632159246889196
7,-0.11572529103802702
8,0.6232374377452695
9,0.1665050157005001
10,0.05912874330846516
11,0.3542881951576776
12,-0.4023563235790079
13,0.38769767138657535
14,0.5208455552278184
15,-0.1637747280099935
16,-0.8949230486426331
17,-0.08768095185930935
18,1.403199308075228
19,0.17267914454904623
20,0.04660166954171332
21,-0.330270418977466
22,0.04322836731632774
23,-0.19497943144648308
24,-0.4026441394421595
25,-0.09920825520907425
26,-0.2491567723769672
27,-0.6911721758807744
28,-0.8458904591461336
29,0.11482263689717798
30,0.8610775548890715
31,-0.24095978272466542
32,-0.7600766775287329
33,-0.6496069437405453
34,-1.244565952713241
35,0.18083860429997264
36,-0.8198857849552926
37,0.32098319764184263
38,-0.1245310238043765
39,-0.60995163413513
40,1.2401205896411973
41,0.43561763731993086
42,0.1853302104934864
43,1.1532297807577807
44,0.4924785402907383
45,-0.270626449655076
46,0.3871561710286664
47,-0.1074600374550632
48,-0.11294473959819297
49,0.6730977054964822
50,0.8846093170567343
51,0.03192945073234609
52,-0.09685935918593769
53,0.4858779856975502
54,-0.6236579626126605
55,-0.5089047709938972
56,-0.824594181872302
57,-0.045776339651130704
58,0.17222178861380277
59,0.0462465264982545
60,0.2804075419108337
61,-0.6011750473687714
62,0.09153809686779199
63,0.20934944184590484
64,-0.3558045318287419
65,-0.3878707503465643
66,-0.7818394222691873
67,0.30189780685476475
68,-0.50895680317558
69,0.5925288280112938
70,0.22095791899098252
71,0.993271342497219
72,-0.18835036409157427
73,0.47664955016418087
74,-0.6112487798888503
75,0.16954317994505377
76,-0.005454570059068273
77,0.24917216494832212
78,0.5149766870411013
79,0.3653565346071149
80,-0.6336227970086769
81,-0.6581311833575204
82,0.30440586045585255
83,-0.30665667903235044
84,-0.626332801954432
85,1.6104875608201787
86,0.19481350200786107
87,0.07264137098195181
88,0.20859829400590812
89,-0.7131055741691303
90,0.7733488852062914
91,-0.06193908197050474
92,0.012024561656525086
93,-0.4594407166593841
94,0.4929786323760478
95,0.09713155918436167
96,-1.1223071394284696
97,0.18918974114435003
98,0.7713942613211245
99,-0.16366277214178254
100,-0.04468650249395959
