EarthquakeID,StationID,Total_R
1,1,-1.461578598
1,2,-0.912760105
1,3,-0.003182242
1,4,-0.26011252
1,5,-0.965722666
1,6,-0.245722758
1,7,-0.671321352
1,8,0.117475575
1,9,-0.395487464
1,10,-0.42529092
1,11,-0.2546191
1,12,-0.713116176
1,13,-0.088675957
1,14,0.203231121
1,15,-0.756002656
1,16,-1.194934879
1,17,-0.55160131
1,18,0.974322301
1,19,-0.260551688
1,20,-0.522160214
1,21,-0.770511996
1,22,-0.352762771
1,23,-0.671886405
1,24,-0.683141275
1,25,-0.628626566
1,26,-0.715872025
1,27,-1.070009463
1,28,-1.276445528
1,29,-0.12654161
1,30,0.477058229
1,31,-0.608599257
1,32,-1.153835876
1,33,-0.99894599
1,34,-1.597180199
1,35,-0.308683953
1,36,-1.126234596
1,37,-0.113404813
1,38,-0.499418344
1,39,-1.058941621
1,40,0.662980457
1,41,-0.099724731
1,42,-0.157253824
1,43,0.593523149
1,44,0.093948226
1,45,-0.783089732
1,46,-0.021720966
1,47,-0.428447235
1,48,-0.496256553
1,49,0.040423252
1,50,0.472979625
1,51,-0.288006297
1,52,-0.528835542
1,53,-0.034034111
1,54,-1.027416908
1,55,-1.026456631
1,56,-1.386748701
1,57,-0.661130677
1,58,-0.150875373
1,59,-0.417210619
1,60,-0.346469734
1,61,-0.97246889
1,62,-0.276996037
1,63,-0.148824525
1,64,-0.816849619
1,65,-0.759809471
1,66,-1.183948293
1,67,-0.19375113
1,68,-1.036923466
1,69,0.18349773
1,70,-0.103502394
1,71,0.59133905
1,72,-0.739379773
1,73,-0.143264768
1,74,-1.073410291
1,75,-0.29308261
1,76,-0.391719828
1,77,-0.167166426
1,78,0.225162998
1,79,-0.102235936
1,80,-1.219141585
1,81,-1.056674671
1,82,-0.231452773
1,83,-0.732431153
1,84,-1.227848565
1,85,1.209838018
1,86,-0.268836358
1,87,-0.440591828
1,88,-0.267725814
1,89,-1.120969875
1,90,0.30057572
1,91,-0.389927578
1,92,-0.435831415
1,93,-1.005292373
1,94,0.076129005
1,95,-0.465589976
1,96,-1.672734413
1,97,-0.261243622
1,98,0.451242508
1,99,-0.545601019
1,100,-0.564156253
2,1,-0.836635004
2,2,-0.234876746
2,3,0.602750802
2,4,0.063335319
2,5,-0.432970635
2,6,0.11423848
2,7,0.06351233
2,8,0.497853356
2,9,0.044894189
2,10,0.088229267
2,11,0.384755759
2,12,-0.469948201
2,13,0.353488502
2,14,0.523764394
2,15,-0.258939946
2,16,-1.008848967
2,17,-0.178008827
2,18,1.350291765
2,19,0.149756763
2,20,0.061407797
2,21,-0.224387582
2,22,0.033982586
2,23,-0.321811949
2,24,-0.416512582
2,25,-0.157516744
2,26,-0.358642319
2,27,-0.807192486
2,28,-0.895474539
2,29,-0.021840599
2,30,0.902493241
2,31,-0.415885238
2,32,-0.971501977
2,33,-0.563776048
2,34,-1.468290922
2,35,0.152117525
2,36,-0.885104615
2,37,0.347840464
2,38,-0.004630092
2,39,-0.682582324
2,40,1.229927656
2,41,0.334876796
2,42,-0.045021446
2,43,1.128518675
2,44,0.494758093
2,45,-0.416051616
2,46,0.12523352
2,47,-0.205921497
2,48,-0.094976161
2,49,0.725822479
2,50,0.786139716
2,51,-0.129463192
2,52,-0.066746335
2,53,0.478873112
2,54,-0.86238254
2,55,-0.557325016
2,56,-0.791665721
2,57,-0.0086486
2,58,0.079924358
2,59,-0.061408234
2,60,0.120650296
2,61,-0.755214246
2,62,0.070956349
2,63,0.13446657
2,64,-0.305222674
2,65,-0.488929496
2,66,-0.650728858
2,67,0.11331182
2,68,-0.778617236
2,69,0.537076769
2,70,-0.072270618
2,71,1.01665564
2,72,-0.180513704
2,73,0.499832255
2,74,-0.600042426
2,75,0.177868485
2,76,0.031892878
2,77,0.249724944
2,78,0.581349494
2,79,0.425187046
2,80,-0.481225301
2,81,-0.640039981
2,82,0.164355801
2,83,-0.228691891
2,84,-0.657144453
2,85,1.613140095
2,86,0.00388264
2,87,0.071943652
2,88,0.140652081
2,89,-0.687522732
2,90,0.715678516
2,91,0.102784204
2,92,0.087843054
2,93,-0.511798051
2,94,0.559074396
2,95,0.091131029
2,96,-1.179251736
2,97,0.044210555
2,98,0.657013894
2,99,-0.089616348
2,100,-0.060808578
3,1,-0.608848258
3,2,-0.283697337
3,3,0.658556886
3,4,0.369236166
3,5,-0.332313448
3,6,0.104445089
3,7,-0.119165593
3,8,0.827097635
3,9,0.459715679
3,10,0.248039381
3,11,0.285141622
3,12,-0.364186422
3,13,0.606491184
3,14,0.740454883
3,15,-0.062288154
3,16,-0.723855531
3,17,0.084998677
3,18,1.716745604
3,19,0.343424104
3,20,0.175931463
3,21,-0.258125592
3,22,0.123039662
3,23,0.022642703
3,24,-0.341904819
3,25,0.088126046
3,26,-0.107682117
3,27,-0.619824364
3,28,-0.71771237
3,29,0.345581645
3,30,0.894201421
3,31,-0.343552549
3,32,-0.662402624
3,33,-0.410472903
3,34,-1.073221081
3,35,0.337208141
3,36,-0.894260742
3,37,0.583703945
3,38,0.089345693
3,39,-0.485967029
3,40,1.510317892
3,41,0.646193353
3,42,0.462987747
3,43,1.383316445
3,44,0.728223279
3,45,-0.10960923
3,46,0.457117078
3,47,0.061499016
3,48,-0.015605625
3,49,0.884393483
3,50,1.065507291
3,51,0.158538652
3,52,-0.007358466
3,53,0.62189929
3,54,-0.374435824
3,55,-0.366487011
3,56,-0.715177447
3,57,0.000145305
3,58,0.325837194
3,59,0.203859508
3,60,0.404969716
3,61,-0.467226635
3,62,0.078790683
3,63,0.392539077
3,64,-0.175607287
3,65,-0.176236187
3,66,-0.508459232
3,67,0.506297688
3,68,-0.256319599
3,69,0.73241059
3,70,0.383942986
3,71,1.185731475
3,72,0.144234601
3,73,0.796554097
3,74,-0.395778596
3,75,0.213437857
3,76,0.171873593
3,77,0.373189495
3,78,0.564116708
3,79,0.392848004
3,80,-0.412731504
3,81,-0.539074869
3,82,0.49497313
3,83,0.015432223
3,84,-0.349386343
3,85,1.80540915
3,86,0.440793973
3,87,0.014957236
3,88,0.494142359
3,89,-0.546911181
3,90,0.925856311
3,91,0.12840629
3,92,0.120318063
3,93,-0.36812415
3,94,0.770119716
3,95,0.391134874
3,96,-0.944854271
3,97,0.458827391
3,98,1.019479806
3,99,0.117194219
3,100,0.17426803
4,1,-1.708845191
4,2,-1.138250074
4,3,-0.433407172
4,4,-0.798262456
4,5,-1.182811507
4,6,-0.748108048
4,7,-1.012996098
4,8,-0.462420849
4,9,-0.745841274
4,10,-0.785367299
4,11,-0.340294229
4,12,-1.234918118
4,13,-0.582539438
4,14,-0.563841374
4,15,-1.133322833
4,16,-1.792083063
4,17,-1.069469288
4,18,0.475290888
4,19,-0.927785078
4,20,-0.875585258
4,21,-1.206431254
4,22,-0.818725438
4,23,-1.002908001
4,24,-1.372435005
4,25,-0.921195064
4,26,-1.207434745
4,27,-1.703300343
4,28,-1.834817373
4,29,-0.777525443
4,30,-0.125292851
4,31,-1.093426675
4,32,-1.701074099
4,33,-1.506204474
